TransactionID,Items
Trans1,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans2,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies"
Trans3,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans4,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
Trans5,"Android Programming: The Big Nerd Ranch, Beginning Programming with Java, Java 8 Pocket Guide"
Trans6,"ABeginner’s Guide, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans7,"ABeginner’s Guide, Head First Java 2nd Edition, Beginning Programming with Java"
Trans8,"Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans9,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
Trans10,"Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps"
Trans11,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans12,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies, HTML and CSS: Design and Build Websites"
Trans13,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies, Java 8 Pocket Guide, HTML and CSS: Design and Build Websites"
Trans14,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans15,"Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans16,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans17,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans18,"Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide"
Trans19,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans20,"ABeginner’s Guide, Java: The Complete Reference, Java For Dummies"
